Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index
metest4	81	Picture	checker_flash	1059499	0	1	2167	2	0	2000	other	0
metest4	82	Picture	checker_flash	1063999	0	1	2167	2	0	2000	other	0
metest4	83	Picture	checker_flash	1068499	0	1	2167	2	0	2000	other	0
metest4	84	Picture	fix	1072999	0	1	14167	2	0	14000	other	0
metest4	85	Picture	rest	1087333	0	1	22166	2	0	22000	other	0
metest4	86	Picture	fix	1109666	0	1	8167	2	0	8000	other	0
metest4	87	Picture	rest	1117999	0	1	22167	2	0	22000	other	0
metest4	88	Picture	fix	1140333	0	1	8166	3	0	8000	other	0
metest4	89	Picture	rest	1148666	0	1	22167	2	0	22000	other	0
metest4	90	Picture	fix	1170999	0	14	8167	15	0	8000	other	0
metest4	91	Sound	calc_aud	1179398	65	1			0		other	0
metest4	92	Picture	fix	1194333	0	1	2166	3	0	2000	other	0
metest4	93	Picture	rest	1196666	0	1	22167	2	0	22000	other	0
metest4	94	Picture	fix	1218999	0	2	11167	3	0	11000	other	0
metest4	95	Picture	rest	1230333	0	1	22167	2	0	22000	other	0
metest4	96	Picture	fix	1252666	0	1	8167	2	0	8000	other	0
metest4	97	Picture	btn_vis_left	1261000	0	1	2661	20	0	2500	other	0
metest4	97	Picture	fix	1275166	0	1	14167	2	0	14000	other	0
metest4	97	Response	4	1279878	4712	3						
metest4	97	Response	4	1284378	9212	1						
metest4	98	Response	4	1288399	13233	1						
metest4	99	Sound	sent_aud	1289566	73	12			0		other	0
metest4	100	Picture	fix	1306654	0	16	11179	17	0	11000	other	0
metest4	101	Picture	checkerV	1318000	0	1	2166	2	0	2000	other	0
metest4	102	Picture	checker_flash	1322500	0	1	2166	2	0	2000	other	0
metest4	103	Picture	checker_flash	1327000	0	1	2166	2	0	2000	other	0
metest4	104	Picture	checker_flash	1331500	0	1	2166	2	0	2000	other	0
metest4	105	Picture	checker_flash	1336000	0	1	2166	2	0	2000	other	0
metest4	106	Picture	fix	1340500	0	1	11166	2	0	11000	other	0
metest4	107	Picture	calc_vis	1351833	0	1	2667	2	0	2500	other	0
metest4	108	Picture	fix	1366166	0	1	23167	2	0	23000	other	0
metest4	109	Picture	rest	1389500	0	1	22166	2	0	22000	other	0
metest4	110	Picture	fix	1411833	0	13	2167	14	0	2000	other	0
metest4	111	Picture	sent_vis	1414166	0	1	2667	2	0	2500	other	0
metest4	112	Picture	fix	1428333	0	1	23155	17	0	23000	other	0
metest4	113	Sound	calc_aud	1451715	49	1			0		other	0
metest4	114	Picture	fix	1463666	0	1	5167	2	0	5000	other	0
metest4	115	Sound	calc_aud	1469058	58	1			0		other	0
metest4	116	Picture	fix	1483166	0	1	5167	2	0	5000	other	0
metest4	117	Picture	checkerV	1488495	0	15	2171	16	0	2000	other	0
metest4	118	Picture	checker_flash	1493000	0	1	2166	2	0	2000	other	0
metest4	119	Picture	checker_flash	1497500	0	1	2166	2	0	2000	other	0
metest4	120	Picture	checker_flash	1502000	0	1	2166	2	0	2000	other	0
metest4	121	Picture	checker_flash	1506500	0	1	2166	2	0	2000	other	0
metest4	122	Picture	fix	1510989	0	18	14011	19	0	14000	other	0
metest4	122	Sound	click_R	1525211	45	17			0		other	0
metest4	123	Response	8	1541160	15994	1						
metest4	123	Picture	fix	1542666	0	1	11167	2	0	11000	other	0
metest4	123	Response	8	1546678	4012	1						
metest4	124	Response	8	1552313	9647	8						
metest4	125	Sound	sent_aud	1554055	55	13			0		other	0
metest4	126	Picture	fix	1568333	0	1	5167	2	0	5000	other	0
metest4	127	Picture	checkerH	1573666	0	1	2157	22	0	2000	other	0
metest4	128	Picture	checker_flash	1578166	0	1	2167	2	0	2000	other	0
metest4	129	Picture	checker_flash	1582666	0	2	2167	3	0	2000	other	0
metest4	130	Picture	checker_flash	1587166	0	1	2167	2	0	2000	other	0
metest4	131	Picture	checker_flash	1591666	0	1	2153	20	0	2000	other	0
metest4	132	Picture	fix	1596000	0	1	20166	3	0	20000	other	0
metest4	133	Picture	calc_vis	1616333	0	1	2665	19	0	2500	other	0
metest4	134	Picture	fix	1630666	0	2	17167	3	0	17000	other	0
metest4	135	Picture	checkerV	1647987	0	20	2179	22	0	2000	other	0
metest4	136	Picture	checker_flash	1652500	0	1	2166	3	0	2000	other	0
metest4	137	Picture	checker_flash	1657000	0	1	2166	3	0	2000	other	0
metest4	138	Picture	checker_flash	1661500	0	1	2166	3	0	2000	other	0
